ticker,name,close,change,market,date
1321,大洋,32.0,-0.25,TWSE,2026-09-11
1323,永裕,21.65,0.3,TWSE,2026-09-11
1324,地球,10.05,0.06,TWSE,2026-09-11
1325,恆大,25.55,-0.45,TWSE,2026-09-11
1326,台化,70.2,-1.1,TWSE,2026-09-11
1337,再生-KY,4.49,-0.03,TWSE,2026-09-11
1338,廣華-KY,14.4,0.0,TWSE,2026-09-11
1339,昭輝,42.95,-0.15,TWSE,2026-09-11
1340,勝悅-KY,5.22,0.0,TWSE,2026-09-11
1341,富林-KY,57.9,-1.9,TWSE,2026-09-11
1342,八貫,99.3,-1.7,TWSE,2026-09-11
1402,遠東新,28.65,0.0,TWSE,2026-09-11
1409,新纖,24.45,-0.7,TWSE,2026-09-11
1410,南染,24.4,-0.1,TWSE,2026-09-11
1413,宏洲,9.28,-0.15,TWSE,2026-09-11
1414,東和,17.3,-0.4,TWSE,2026-09-11
1416,廣豐,11.3,-0.15,TWSE,2026-09-11
1417,嘉裕,8.08,-0.07,TWSE,2026-09-11
1418,東華,17.5,-0.1,TWSE,2026-09-11
1419,新紡,67.1,0.6,TWSE,2026-09-11
1423,利華,34.85,-0.55,TWSE,2026-09-11
1432,大魯閣,15.0,0.0,TWSE,2026-09-11
1434,福懋,17.8,-0.2,TWSE,2026-09-11
1435,中福,22.65,-0.65,TWSE,2026-09-11
1436,華友聯,36.6,-0.35,TWSE,2026-09-11
1437,勤益控,31.85,0.3,TWSE,2026-09-11
1438,三地開發,21.35,-0.2,TWSE,2026-09-11
1439,雋揚,29.3,0.0,TWSE,2026-09-11
1440,南紡,13.4,-0.1,TWSE,2026-09-11
1441,大東,8.69,-0.07,TWSE,2026-09-11
1442,名軒,30.15,-0.15,TWSE,2026-09-11
1443,立益物流,23.5,-0.3,TWSE,2026-09-11
1444,力麗,6.76,-0.21,TWSE,2026-09-11
1445,大宇,10.3,0.0,TWSE,2026-09-11
1446,宏和,13.3,0.0,TWSE,2026-09-11
1447,力鵬,6.49,-0.2,TWSE,2026-09-11
1449,佳和,12.2,-0.15,TWSE,2026-09-11
1451,年興,17.0,-0.2,TWSE,2026-09-11
1452,宏益,11.2,0.05,TWSE,2026-09-11
1453,大將,10.95,-0.15,TWSE,2026-09-11
1454,台富,12.5,-0.35,TWSE,2026-09-11
1455,集盛,9.84,-0.13,TWSE,2026-09-11
1456,怡華,14.35,0.1,TWSE,2026-09-11
1457,宜進,14.5,0.05,TWSE,2026-09-11
1459,聯發,15.5,-0.05,TWSE,2026-09-11
1460,宏遠,6.47,-0.04,TWSE,2026-09-11
1463,強盛新,17.2,0.15,TWSE,2026-09-11
1464,得力,9.99,-0.01,TWSE,2026-09-11
1465,偉全,11.9,-0.1,TWSE,2026-09-11
1466,聚隆,14.8,-0.2,TWSE,2026-09-11
1467,南緯,7.96,-0.27,TWSE,2026-09-11
1468,昶和,13.15,-0.25,TWSE,2026-09-11
1470,大統新創,23.95,0.05,TWSE,2026-09-11
1471,首利,9.48,-0.17,TWSE,2026-09-11
1473,台南,19.9,-0.1,TWSE,2026-09-11
1474,弘裕,10.0,0.05,TWSE,2026-09-11
1475,業旺,26.05,0.0,TWSE,2026-09-11
1476,儒鴻,288.5,-1.5,TWSE,2026-09-11
1477,聚陽,196.5,-1.0,TWSE,2026-09-11
1503,士電,202.0,-3.0,TWSE,2026-09-11
1504,東元,69.5,-1.1,TWSE,2026-09-11
1506,正道,9.92,-0.03,TWSE,2026-09-11
1512,瑞利,6.19,-0.06,TWSE,2026-09-11
1513,中興電,165.0,-0.5,TWSE,2026-09-11
1514,亞力,100.5,-1.5,TWSE,2026-09-11
1515,力山,30.9,1.15,TWSE,2026-09-11
1516,川飛,13.95,-0.55,TWSE,2026-09-11
1517,利奇,10.45,-0.3,TWSE,2026-09-11
1519,華城,712.0,-6.0,TWSE,2026-09-11
1521,大億,24.85,-0.15,TWSE,2026-09-11
1522,堤維西,25.5,-0.95,TWSE,2026-09-11
1522A,堤維西甲特,51.0,0.2,TWSE,2026-09-11
1524,耿鼎,26.05,-0.15,TWSE,2026-09-11
1525,江申,64.9,-0.6,TWSE,2026-09-11
1526,日馳,15.15,-0.4,TWSE,2026-09-11
1527,鑽全,32.45,-0.15,TWSE,2026-09-11
1528,恩德,21.2,1.9,TWSE,2026-09-11
1529,樂事綠能,15.85,-0.05,TWSE,2026-09-11
1530,亞崴,27.45,-0.9,TWSE,2026-09-11
1531,高林股,11.65,-0.05,TWSE,2026-09-11
1532,勤美,22.6,-0.15,TWSE,2026-09-11
1533,車王電,30.65,-0.05,TWSE,2026-09-11
1535,中宇,45.05,-0.15,TWSE,2026-09-11
1536,和大,47.35,-0.45,TWSE,2026-09-11
1537,廣隆,114.5,-1.0,TWSE,2026-09-11
1538,正峰,8.85,0.05,TWSE,2026-09-11
1539,巨庭,15.5,-0.05,TWSE,2026-09-11
1540,喬福,19.3,-0.05,TWSE,2026-09-11
1541,錩泰,21.1,-0.1,TWSE,2026-09-11
1558,伸興,108.5,2.5,TWSE,2026-09-11
1560,中砂,790.0,57.0,TWSE,2026-09-11
1563,巧新,76.0,-2.2,TWSE,2026-09-11
1568,倉佑,28.2,-1.5,TWSE,2026-09-11
1582,信錦,70.1,-0.3,TWSE,2026-09-11
1583,程泰,47.9,-0.5,TWSE,2026-09-11
1587,吉茂,23.6,0.0,TWSE,2026-09-11
1590,亞德客-KY,1285.0,-20.0,TWSE,2026-09-11
1597,直得,147.0,-1.0,TWSE,2026-09-11
1598,岱宇,20.5,-0.35,TWSE,2026-09-11
1603,華電,30.0,-0.1,TWSE,2026-09-11
1604,聲寶,23.45,-0.05,TWSE,2026-09-11
1605,華新,37.4,-0.4,TWSE,2026-09-11
1608,華榮,36.2,-0.25,TWSE,2026-09-11
1609,大亞,37.85,0.1,TWSE,2026-09-11
1611,中電,11.55,-0.1,TWSE,2026-09-11
1612,宏泰,34.85,0.05,TWSE,2026-09-11
1614,三洋電,31.1,0.0,TWSE,2026-09-11
1615,大山,43.7,-0.25,TWSE,2026-09-11
1616,億泰,18.8,-0.1,TWSE,2026-09-11
1617,榮星,17.5,-0.55,TWSE,2026-09-11
1618,合機,38.8,-0.3,TWSE,2026-09-11
1623,大東電,205.5,-13.0,TWSE,2026-09-11
1626,艾美特-KY,9.65,-0.02,TWSE,2026-09-11
1702,南僑,32.2,-0.35,TWSE,2026-09-11
1707,葡萄王,89.0,-2.4,TWSE,2026-09-11
1708,東鹼,48.5,-0.9,TWSE,2026-09-11
1709,和益,36.2,0.9,TWSE,2026-09-11
1710,東聯,16.0,0.05,TWSE,2026-09-11
1711,永光,38.45,-0.6,TWSE,2026-09-11
1712,興農,40.25,-0.55,TWSE,2026-09-11
1713,國化,42.55,-0.3,TWSE,2026-09-11
1714,和桐,15.35,-1.15,TWSE,2026-09-11
1717,長興,70.9,-0.8,TWSE,2026-09-11
1718,中纖,10.4,-0.2,TWSE,2026-09-11
1720,生達,56.0,-0.3,TWSE,2026-09-11
1721,國慶科技,22.4,-0.95,TWSE,2026-09-11
1722,台肥,43.25,-0.5,TWSE,2026-09-11
1723,中碳,81.7,-0.6,TWSE,2026-09-11
1725,元禎,32.9,-0.2,TWSE,2026-09-11
1726,永記,76.9,-0.4,TWSE,2026-09-11
1727,中華化,89.6,-0.8,TWSE,2026-09-11
1730,花仙子,51.4,-0.1,TWSE,2026-09-11
1731,美吾華,20.8,-0.1,TWSE,2026-09-11
1732,毛寶,26.0,0.1,TWSE,2026-09-11
1733,五鼎,30.8,-0.2,TWSE,2026-09-11
1734,杏輝,31.2,0.05,TWSE,2026-09-11
1735,日勝化,19.95,-0.1,TWSE,2026-09-11
1736,喬山,128.5,3.5,TWSE,2026-09-11
1737,臺鹽,30.6,-0.1,TWSE,2026-09-11
